"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Create file","LMS service","Sun Nov 09 07:00:50 UTC 2025","passed","Sun Nov 09 07:00:50 UTC 2025","Create entity","Files","",""
"","261","Create file with empty directory","LMS service","Sun Nov 09 07:00:52 UTC 2025","passed","Sun Nov 09 07:00:52 UTC 2025","Validate entity","Files","",""
"","292","Delete file","LMS service","Sun Nov 09 07:00:52 UTC 2025","passed","Sun Nov 09 07:00:53 UTC 2025","Delete entity","Files","",""
"","263","Create file with empty filename","LMS service","Sun Nov 09 07:00:51 UTC 2025","passed","Sun Nov 09 07:00:51 UTC 2025","Validate entity","Files","",""
"","262","Get file with incorrect file id","LMS service","Sun Nov 09 07:00:53 UTC 2025","passed","Sun Nov 09 07:00:53 UTC 2025","Validate entity","Files","",""
"","288","Create user","LMS service","Sun Nov 09 07:00:53 UTC 2025","passed","Sun Nov 09 07:00:53 UTC 2025","Create entity","Users","",""
"","19","Delete exercise","LMS service","Sun Nov 09 07:00:49 UTC 2025","passed","Sun Nov 09 07:00:49 UTC 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Sun Nov 09 07:00:54 UTC 2025","passed","Sun Nov 09 07:00:54 UTC 2025","Get entity","Users","",""
"","25","Create course","LMS service","Sun Nov 09 07:00:46 UTC 2025","passed","Sun Nov 09 07:00:46 UTC 2025","Create entity","Courses","",""
"","33","Update course","LMS service","Sun Nov 09 07:00:46 UTC 2025","passed","Sun Nov 09 07:00:46 UTC 2025","Update entity","Courses","",""
"","26","Update exercise","LMS service","Sun Nov 09 07:00:48 UTC 2025","passed","Sun Nov 09 07:00:48 UTC 2025","Update entity","Exercises","",""
"","25","Get exercise","LMS service","Sun Nov 09 07:00:49 UTC 2025","passed","Sun Nov 09 07:00:49 UTC 2025","Get entity","Exercises","",""
"","546","Login with correct email and password","LMS service","Sun Nov 09 07:00:45 UTC 2025","passed","Sun Nov 09 07:00:45 UTC 2025","Login","Authentication","",""
"","19","Get exercises","LMS service","Sun Nov 09 07:00:50 UTC 2025","passed","Sun Nov 09 07:00:50 UTC 2025","Get entities","Exercises","",""
"","19","Create exercise","LMS service","Sun Nov 09 07:00:48 UTC 2025","passed","Sun Nov 09 07:00:48 UTC 2025","Create entity","Exercises","",""
"","16","Get file","LMS service","Sun Nov 09 07:00:51 UTC 2025","passed","Sun Nov 09 07:00:51 UTC 2025","Get entity","Files","",""
"","543","Create user","LMS service","Sun Nov 09 07:00:53 UTC 2025","passed","Sun Nov 09 07:00:53 UTC 2025","Create entity","Users","",""
"","560","Create user","LMS service","Sun Nov 09 07:00:53 UTC 2025","passed","Sun Nov 09 07:00:54 UTC 2025","Create entity","Users","",""
"","27","Get courses","LMS service","Sun Nov 09 07:00:45 UTC 2025","passed","Sun Nov 09 07:00:45 UTC 2025","Get entities","Courses","",""
